ID,Institucion
1,IMSS
2,IMSS_BIENESTAR
3,ISSSTE
4,INSABI_O_SEGURO_POPULAR
5,ISSSTE_O_ISSSTE_ESTATAL
6,INSTITUCION_PRIVADA
7,PEMEX_SDN_O_SM
8,OTRA_INSTITUCION
9,DIF
10,ESTATALES
11,MUNICIPAL
12,PEMEX
13,SALUD
14,SEDENA
15,SEMAR
16,UNIVERSITARIO
17,CENTROS_DE_INTEGRACION_JUVENIL
