ID,Año,"Medicos_generales_especialistas_y_odontologos",Personal_medico_en_formacion,Medicos_en_otras_labores,Enfermeras_generales_y_especialistas,Pasantes_de_enfermeria,Auxiliares_de_enfermeria,Personal_de_enfermeria_en_otras_labores,Personal_profesional,Personal_tecnico,Otro_personal,TOTAL,ID_Estado
85,2012,23197,7707,3189,30673,483,12168,3521,12299,13711,42506,149454,9
86,2013,24213,8184,3223,31209,564,12147,3506,12294,14016,41778,151134,9
87,2014,24897,8211,3083,31771,326,12233,3849,12993,13809,43856,155028,9
88,2015,26179,8599,3854,32666,366,12574,4243,8837,16018,43150,156486,9
89,2016,26173,9022,2571,34594,455,12471,3866,8939,20694,40347,159132,9
90,2017,25971,9904,2658,33506,601,12390,9085,8986,20901,40989,164991,9
91,2018,25896,9681,3005,33539,884,12139,3526,9255,21086,42019,161030,9
92,2019,25572,10583,2555,32994,514,11802,3715,9569,21354,42926,161584,9
93,2020,25573,10692,2717,33161,530,11985,3706,9568,21458,42611,162001,9
94,2021,26578,10646,2808,34908,419,12181,3637,9596,22429,41755,164957,9
95,2022,26816,11901,2998,35350,825,12487,3835,10048,23568,42584,170412,9
96,2023,28207,14610,3175,35917,1022,12934,4054,10381,21854,42435,174589,9
97,2012,3778,741,483,4043,454,2160,513,1920,1311,4918,20321,7
98,2013,4133,831,525,4675,598,2313,564,1978,1438,5739,22794,7
99,2014,4119,861,522,4657,751,2394,552,1971,1433,5673,22933,7
100,2015,4487,955,696,4597,742,2551,656,845,2059,5627,23215,7
101,2016,4286,1185,423,4842,984,2577,619,849,2978,5426,24169,7
102,2017,4409,1223,461,4942,992,2746,650,816,3298,5563,25100,7
103,2018,4438,1356,494,4990,1021,2785,621,893,3405,5339,25342,7
104,2019,4599,1454,426,5032,965,2818,633,971,3448,5639,25985,7
105,2020,4800,1194,451,5442,799,2997,686,1006,3688,5998,27061,7
106,2021,4895,1318,471,5390,908,3282,684,1023,3827,6047,27845,7
107,2022,4872,1466,437,5218,944,3159,661,1085,3826,5836,27504,7
108,2023,4912,1604,441,5309,890,3307,714,1022,3795,5876,27870,7
109,2012,1163,310,154,1278,128,539,173,413,354,1435,5947,8
110,2013,1234,294,159,1291,132,537,181,451,386,1488,6153,8
111,2014,1236,299,181,1264,159,571,199,461,388,1580,6338,8
112,2015,1359,307,196,1331,176,597,213,272,498,1540,6489,8
113,2016,1386,408,150,1293,239,627,189,284,754,1495,6825,8
114,2017,1411,441,159,1454,279,780,214,289,875,1597,7499,8
115,2018,1440,502,171,1400,288,822,191,295,837,1570,7516,8
116,2019,1459,525,147,1428,292,816,176,312,855,1586,7596,8
117,2020,1573,446,153,1527,173,1030,195,320,882,1620,7919,8
118,2021,1505,491,167,1551,185,896,211,335,882,1656,7879,8
119,2022,1493,576,157,1575,198,855,210,332,854,1654,7904,8
120,2023,1543,589,149,1605,204,874,213,369,876,1733,8155,8
121,2012,2472,731,233,2367,105,1591,230,900,833,2944,12406,10
122,2013,2446,738,239,2428,108,1582,251,1078,851,2786,12507,10
123,2014,2479,862,298,2513,201,1508,280,965,877,3062,13045,10
124,2015,2694,810,322,2662,170,1557,256,705,1057,3080,13313,10
125,2016,2703,909,222,2693,189,1558,227,744,1523,2892,13660,10
126,2017,2692,935,231,2867,292,1515,216,703,1501,2926,13878,10
127,2018,2728,1003,271,2900,236,1532,215,679,1526,3164,14254,10
128,2019,2751,966,214,2841,223,1368,249,708,1532,3094,13946,10
129,2020,2771,996,187,2952,246,1393,253,724,1586,3072,14180,10
130,2021,2888,1250,210,3214,120,1398,274,781,1683,3199,15017,10
131,2022,2944,1113,228,3370,125,1377,287,764,1688,3228,15124,10
132,2023,3206,1652,257,3463,159,1520,296,814,1740,3385,16492,10
133,2012,5823,1576,770,6201,594,3893,645,2079,2371,5819,29771,11
134,2013,5935,1699,807,6283,666,3929,656,2117,2443,6286,30821,11
135,2014,6161,1730,841,6664,555,4210,754,2302,2558,6258,32033,11
136,2015,6621,1734,982,7226,878,4218,880,1463,3063,6186,33251,11
137,2016,6906,1709,655,7612,1217,4284,846,1582,4471,6081,35363,11
138,2017,7216,1887,697,7524,1266,4563,803,1507,4222,6354,36039,11
139,2018,7348,1890,805,8094,1158,4752,857,1631,4632,6862,38029,11
140,2019,7649,1891,788,8387,1050,4742,899,1711,4905,6885,38907,11
141,2020,7879,1940,804,9028,739,4876,938,1733,5110,7146,40193,11
142,2021,7914,2263,857,9148,795,4870,970,1906,5081,6874,40678,11
143,2022,7978,2338,848,9205,860,4836,1053,1941,4945,6862,40866,11
144,2023,8092,3007,899,9244,918,4836,1076,1905,4973,6931,41881,11
145,2012,3967,792,301,4147,450,1543,297,1065,1865,3961,18388,12
146,2013,4151,734,304,4268,467,1677,292,1111,1893,3990,18887,12
147,2014,4986,774,283,4878,486,1958,321,1209,2111,4371,21377,12
148,2015,5377,757,451,5152,660,2189,375,1030,2390,4633,23014,12
149,2016,5474,850,275,5525,777,2239,381,1219,2867,5049,24656,12
150,2017,5762,1024,325,5744,1120,2568,528,1301,2853,5717,26942,12
151,2018,6124,991,356,5792,959,3116,425,1333,2674,6002,27772,12
152,2019,5938,995,347,5585,1005,3186,404,1410,2638,5723,27231,12
153,2020,5996,834,319,5638,868,3523,407,1430,2711,5853,27579,12
154,2021,6125,997,309,6024,820,3525,452,1538,2847,5913,28550,12
155,2022,6111,948,352,6136,901,3303,584,1555,2787,5931,28608,12
156,2023,6018,1413,341,6511,670,2904,456,1695,2672,5798,28478,12
157,2012,3237,817,401,2807,700,2465,356,908,1462,3860,17013,13
158,2013,3275,850,381,2792,763,2424,354,927,1499,3857,17122,13
159,2014,3370,916,374,2855,818,2423,347,889,1522,3946,17460,13
160,2015,3564,940,345,2958,865,2417,362,534,1506,4148,17639,13
161,2016,3655,948,242,2955,911,2565,325,581,2042,4013,18237,13
162,2017,3678,988,246,3034,1037,2558,330,526,2023,4024,18444,13
163,2018,3752,1035,262,3048,1023,2565,323,596,1994,4112,18710,13
164,2019,3911,908,222,3201,912,2461,327,619,1941,4015,18517,13
165,2020,4252,1005,255,3750,860,2621,318,755,2090,4404,20310,13
166,2021,4299,1128,295,4111,864,2629,337,1000,2117,4591,21371,13
167,2022,4381,1227,277,4196,896,2815,355,814,2292,4905,22158,13
168,2023,4417,1690,318,4297,950,2901,396,969,2524,4822,23284,13
169,2012,8591,3481,1135,9356,1022,6441,1359,3583,3559,12214,50741,14
170,2013,8891,3794,1155,9521,1225,6487,1335,3647,3595,12144,51794,14
171,2014,9042,4874,1167,9690,1511,6542,1392,3731,3622,12210,53781,14
172,2015,9791,5339,1512,9965,2162,7096,1405,1907,4367,11644,55188,14
173,2016,9827,5419,942,9708,2310,7126,1382,1954,6751,10911,56330,14
174,2017,9808,5279,930,10109,2097,7236,1359,1915,6736,11219,56688,14
175,2018,9793,5138,981,10273,2106,7204,1344,1892,6896,11186,56813,14
176,2019,9927,4845,940,10391,1964,7079,1399,1949,6904,11021,56419,14
177,2020,10110,4848,966,10655,1874,7135,1387,1977,6915,11191,57058,14
178,2021,10339,5166,975,10789,1753,7434,1447,2007,7080,11464,58454,14
179,2022,10902,5471,1014,11306,1719,7788,1474,2126,7286,12073,61159,14
180,2023,11449,7604,1134,11096,1100,8516,1524,2286,7379,12971,65059,14
181,2012,14860,3003,1815,16013,2186,7329,1491,5613,9795,20616,82721,15
182,2013,15637,3198,1929,16947,2465,7761,1544,5850,9932,21285,86548,15
183,2014,16415,3326,2029,17568,2687,8274,1760,6411,10231,22260,90961,15
184,2015,17599,3642,2812,18680,2845,8312,1916,3556,11683,22573,93618,15
185,2016,18119,4488,1984,20607,3490,8429,1893,3853,14844,22438,100145,15
186,2017,17304,3934,1755,19269,3536,8611,2066,3922,14294,20627,95318,15
187,2018,17190,4645,1857,19678,3721,8117,2016,4067,15161,20566,97018,15
188,2019,17689,5136,1897,20585,3146,8303,2083,4278,15243,21315,99675,15
189,2020,18135,5236,1906,21362,3501,8892,2291,4341,15654,21679,102997,15
