ID,Año,"Medicos_generales_especialistas_y_odontologos",Personal_medico_en_formacion,Medicos_en_otras_labores,Enfermeras_generales_y_especialistas,Pasantes_de_enfermeria,Auxiliares_de_enfermeria,Personal_de_enfermeria_en_otras_labores,Personal_profesional,Personal_tecnico,Otro_personal,TOTAL,ID_Estado
364,2015,10689,2107,1251,7865,623,8431,936,1952,4869,12901,51624,30
365,2016,10435,2491,858,7962,1082,8607,827,2005,6139,12102,52508,30
366,2017,10506,2570,880,7422,1131,8944,782,1939,6311,11968,52453,30
367,2018,10427,2539,860,7036,1115,8900,844,1887,6412,12489,52509,30
368,2019,10600,2462,773,7134,1178,8992,844,2234,6330,12329,52876,30
369,2020,10983,2239,792,7941,863,9457,832,2258,8105,12916,56386,30
370,2021,10882,2757,878,7834,946,9304,902,2477,7331,12214,55525,30
371,2022,10789,3206,820,8565,1089,9387,887,2375,7334,12690,57142,30
372,2023,11107,3629,898,9235,1092,9460,912,2459,7397,12851,59040,30
373,2012,2547,1081,339,2572,249,2137,380,1066,956,3756,15083,31
374,2013,2630,1150,339,2598,282,2150,386,1083,966,3761,15345,31
375,2014,2782,1186,392,2789,327,2142,401,1173,1082,3892,16166,31
376,2015,3213,1237,604,3471,381,2601,449,914,1742,4273,18885,31
377,2016,3384,1334,298,3503,661,2571,393,940,2114,3978,19176,31
378,2017,3431,1445,352,3326,602,2692,347,951,2089,4139,19374,31
379,2018,3508,1461,415,3581,723,2591,368,948,2215,4432,20242,31
380,2019,3752,1459,350,3559,949,2245,439,992,2274,4425,20444,31
381,2020,3931,1604,358,3991,719,2632,446,1102,2263,4433,21479,31
382,2021,3896,1824,372,3756,669,2614,591,1179,2272,4493,21666,31
383,2022,3950,1605,371,3801,665,2579,596,1175,2362,4532,21636,31
384,2023,4024,2045,395,4084,706,2484,562,1139,2403,4525,22367,31
385,2012,1916,643,181,1839,295,1338,142,579,580,2311,9824,32
386,2013,2052,592,162,1925,373,1402,157,639,595,2432,10329,32
387,2014,2150,663,176,2166,458,1579,158,684,656,2621,11311,32
388,2015,2231,760,257,2033,455,1769,157,514,777,2538,11491,32
389,2016,2267,744,173,2104,419,1782,160,566,991,2459,11665,32
390,2017,2352,711,195,1972,474,2005,157,578,1013,2553,12010,32
391,2018,2401,766,196,2140,511,2141,177,591,1027,2574,12524,32
392,2019,2464,687,171,2172,488,2102,197,636,1042,2579,12538,32
393,2020,2469,690,179,2216,471,2219,202,626,1133,2600,12805,32
394,2021,2516,795,196,2350,372,2198,218,637,1226,2679,13187,32
395,2022,2555,799,203,2378,331,2125,217,678,1188,2822,13296,32
396,2023,2627,1086,211,2488,346,2163,220,635,1211,2911,13898,32
